"","model","avg_sentence_length","avg_word_length","avg_total_words","avg_total_sentences","avg_unique_tokens","avg_ttr"
"1","claude-opus-5",31.7022127890409,5.45143167197112,1465.26495726496,48.1367521367521,619.487179487179,0.427945953987207
"2","gemini-3.6-flash",28.1147633193406,6.00400625225681,1008.78632478632,40.8632478632479,424.538461538462,0.427687434866761
"3","gpt-5.6-sol",18.405509683442,5.99641160914176,801.444444444444,41.0598290598291,379,0.491862277351391
"4","o1-2024-12-17",19.4826125720828,5.84390638696355,672.931623931624,36.9401709401709,329.991452991453,0.501244572298502
